date,year,window,int/ext,within_league,season,player_name,position,from_country,from_league,from_team,to_country,to_league,team,age_transfer,market value,fee amount,duration_cleaned,dur_rounded,fee amount_mean,date_deadline,days_to_deadline,dtd_rounded
2015-07-01,2015,1,E,False,15/16,Orlando Sá,Centre-Forward,Poland,Ekstraklasa,Legia Warszawa ,England,Championship,Reading FC,27,1.5,1.5,23.0,24,2.42925,2015-09-01,62,60
2015-08-12,2015,1,E,False,15/16,Paolo Hurtado,Attacking Midfield,Portugal,Primeira Liga,Paços Ferreira ,England,Championship,Reading FC,25,2.0,0.85,10.0,12,2.42925,2015-09-01,20,20
2015-08-03,2015,1,I,True,15/16,Alireza Jahanbakhsh,Right Winger,Netherlands,Eredivisie,NEC Nijmegen ,Netherlands,Eredivisie,AZ Alkmaar,21,2.0,1.8,10.0,12,1.561764705882353,2015-08-31,28,30
2015-08-27,2015,1,I,True,15/16,Ben Rienstra,Central Midfield,Netherlands,Eredivisie,PEC Zwolle ,Netherlands,Eredivisie,AZ Alkmaar,25,2.0,1.5,10.0,12,1.561764705882353,2015-08-31,4,0
2015-07-01,2015,1,I,False,15/16,Vincent Janssen,Centre-Forward,Netherlands,Jupiler League,Almere City ,Netherlands,Eredivisie,AZ Alkmaar,21,0.4,0.5,11.0,12,1.561764705882353,2015-08-31,61,60
2015-08-04,2015,1,E,False,15/16,Rajko Brezancic,Left-Back,Serbia,SuperLiga,Cukaricki ,Netherlands,Eredivisie,AZ Alkmaar,25,0.7,0.4,22.0,24,1.561764705882353,2015-08-31,27,30
2015-09-01,2015,1,E,False,15/16,Virgil van Dijk,Centre-Back,Scotland,Scottish Premiership,Celtic ,England,Premier League,Southampton FC,24,5.0,15.7,21.0,24,13.767999999999999,2015-09-01,0,0
2015-07-15,2015,1,E,False,15/16,Jordy Clasie,Defensive Midfield,Netherlands,Eredivisie,Feyenoord ,England,Premier League,Southampton FC,24,10.0,15.0,35.0,36,13.767999999999999,2015-09-01,48,50
2015-07-01,2015,1,E,False,15/16,Cédric Soares,Right-Back,Portugal,Primeira Liga,Sporting CP ,England,Premier League,Southampton FC,23,9.5,7.0,11.0,12,13.767999999999999,2015-09-01,62,60
2015-07-01,2015,1,E,False,15/16,Juanmi,Right Winger,Spain,Primera División,Málaga CF ,England,Premier League,Southampton FC,22,7.0,7.0,35.0,36,13.767999999999999,2015-09-01,62,60
